
> sevenboard@0.1.0 dev:web
> npm run dev -w apps/web


> @sevenboard/web@0.1.0 dev
> next dev

▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.6.39:3000
- Environments: .env.local
✓ Ready in 3.5s

 GET /variance 200 in 41ms (next.js: 4ms, application-code: 37ms)
 GET /budget 200 in 39ms (next.js: 4ms, application-code: 35ms)
 GET / 200 in 43ms (next.js: 5ms, application-code: 38ms)
 GET /variance 200 in 58ms (next.js: 5ms, application-code: 53ms)
 GET /budget 200 in 44ms (next.js: 5ms, application-code: 39ms)
 GET /variable-cost 200 in 60ms (next.js: 7ms, application-code: 53ms)
 GET /financial-statements 200 in 45ms (next.js: 6ms, application-code: 39ms)
 GET /cashflow 200 in 38ms (next.js: 6ms, application-code: 32ms)
 GET /comments 200 in 39ms (next.js: 5ms, application-code: 34ms)
✓ Compiled in 389ms
 GET /ai-report 200 in 320ms (next.js: 255ms, application-code: 66ms)
✓ Compiled in 875ms
 GET /ai-report 200 in 566ms (next.js: 219ms, application-code: 346ms)
 GET /ai-report 200 in 272ms (next.js: 6ms, application-code: 266ms)
 GET /ai-report 200 in 260ms (next.js: 11ms, application-code: 249ms)
 GET /ai-report 200 in 260ms (next.js: 60ms, application-code: 200ms)
 GET /ai-report 200 in 260ms (next.js: 108ms, application-code: 152ms)
 GET /ai-report 200 in 260ms (next.js: 151ms, application-code: 109ms)
 GET /ai-report 200 in 67ms (next.js: 8ms, application-code: 58ms)
✓ Compiled in 328ms
 GET /ai-report 200 in 297ms (next.js: 172ms, application-code: 125ms)
 GET /ai-report 200 in 47ms (next.js: 5ms, application-code: 42ms)
✓ Compiled in 115ms
✓ Compiled in 286ms
✓ Compiled in 158ms
✓ Compiled in 146ms
✓ Compiled in 338ms
 GET /ai-report 200 in 414ms (next.js: 217ms, application-code: 197ms)
 GET /ai-report 200 in 128ms (next.js: 6ms, application-code: 122ms)
 GET /ai-report 200 in 74ms (next.js: 6ms, application-code: 67ms)
 GET /ai-report 500 in 695ms (next.js: 317ms, application-code: 378ms)
 GET /ai-report 500 in 42ms (next.js: 20ms, application-code: 23ms)
✓ Compiled in 413ms
 GET /ai-report 500 in 14ms
 GET /ai-report 500 in 36ms (next.js: 13ms, application-code: 23ms)
✓ Compiled in 158ms
 GET /ai-report 200 in 674ms (next.js: 169ms, application-code: 505ms)
 GET /ai-report 200 in 116ms (next.js: 6ms, application-code: 111ms)
✓ Compiled in 154ms
✓ Compiled in 676ms
 GET /ai-report 500 in 114ms (next.js: 63ms, application-code: 51ms)
 GET /ai-report 500 in 49ms (next.js: 18ms, application-code: 32ms)
✓ Compiled in 428ms
 GET /ai-report 200 in 1007ms (next.js: 183ms, application-code: 824ms)
 GET /ai-report 200 in 590ms (next.js: 208ms, application-code: 382ms)
 GET /ai-report 200 in 311ms (next.js: 145ms, application-code: 166ms)
 GET /ai-report 200 in 98ms (next.js: 5ms, application-code: 93ms)
 GET /ai-report 200 in 48ms (next.js: 5ms, application-code: 43ms)
